之,tśi,の
不,piu; piux; piut,not
也,yiax,enim
子,tsix,child; son
而,ńi,and; you
曰,hywat,say
以,yix,abl.
其,gi,he; ?
人,nyin,man
於,yo,in; at
為,hrywe,do
公,kung,public
者,tśyax,emph.; this
有,hyux,have; there is
君,kyun,lord
無,my,不有
王,hywang,king
大,dayh; day,big
則,tsok,rule
乎,hwu,in; at; ?
侯,how,lord
是,dźyex,this; is
夫,pyu,man; husband
可,khax,can
于,?,?
故,kwoh,old
使,šix,order; use
矣,hix,了
晉,tsyinh,"advance, Jin (state)"
所,šiox,place
天,then,sky; heaven
與,yiox,"give, and"
何,ha,what?
國,kwok,country
齊,dzey,"even; same, Qi (state)"
吾,ngwu,I
將,tsyang,going to?
師,šryi,army
知,ťie,know
月,ngywat,moon
焉,hryen; ‘ryen; ‘yan,how?
楚,tšhiox; h,cane; pain; Chu (state)
下,hrax; hrah,down
謂,hwiyh,"sat, tell"
我,ngax,I
臣,dźyin,slave; minister
行,hrang,go
鄭,ďyengh,Zheng (state)
言,ngyan,say
三,sam,three
道,dawx,way; Dao
必,pyit,surely
民,myin,people
事,džih,thing
自,dzyih,self
一,yit,one
然,ńyen,thus
及,gryip,reach
至,tśyih,"arrive, to"
死,sryix,die
見,kenh,see
此,tshyex,"this, here"
生,šrang(h),"live, life,"
伐,bywat,kill
十,dźyip,ten
非,pwiy,is not
聞,myun,listen
二,ńyih,two
命,mriangh,life; destiny
成,dźyeng,"succeed, become"
年,nen,year
乃,noyx,be
德,tok,virtue
出,tśhywit,leave; exit
氏,dźiex,family
在,dzoyx; h,exist; be alive
今,kryim,now
先,sen,first
亦,jyek,also
禮,jywuk,wish
後,"howx, h",behind
未,muy,not yet
文,myun,writing
殺,šret,kill
入,ńyip,enter
用,jywungh,use
來,loy,come
上,dźyangh,up
善,dźienx,good
士,džix,man; scholar
皆,krey,all
夏,hrax,"Xia (dynasty), great"
問,myunh,ask
物,myut,thing
日,ńyit,day
五,ngwux,five
陳,ďryin,"exhibit, display"
中,ťyung,in; middle
父,bywux,father
心,syim,heart
盟,mryang,"swear, oath"
又,hyuh,again
亡,mwyang,escape; lose
孟,mrangh,"eldest brother, Mencius"
相,syang,mutually
周,tśyu,"circle, Zhou"
春,tśhywin,spring
秋,tshyu,autumn
食,źik,eat
四,syih,four
小,syewx,small
明,mryang,bright
孔,khungx,hole; Confucius
立,lyip,stand
且,tshyax,this
樂,ngrok,music
卒,tswot,soldier
惡,‘ak,bad
朝,ťryew,morning
